AL,nest,nest_mate,date,year,DOY,sunrise,time,time_after_sunrise,process_time,time_on_ice,CORT_time,CORT_cat,CORT_value,CORT_sec,sex,age,age.2,incubator
2040,NA,NA,3-Apr-17,2017,93,6.26,9,2.74,12.05,3.05,15,min15,30.2339915,940,M,adult,adult,NA
2040,NA,NA,3-Apr-17,2017,93,6.26,9,2.74,12.05,3.05,30,min30,79.69423933,1881,M,adult,adult,NA
2041,NA,NA,3-Apr-17,2017,93,6.26,10.4,4.14,12.25,1.85,0,base,2.195674419,75,M,adult,adult,NA
2041,NA,NA,3-Apr-17,2017,93,6.26,10.4,4.14,12.25,1.85,15,min15,97.12772502,921,M,adult,adult,NA
2041,NA,NA,3-Apr-17,2017,93,6.26,10.4,4.14,12.25,1.85,30,min30,89.98867115,1711,M,adult,adult,NA
2042,NA,NA,4-Apr-17,2017,94,6.25,9.333333333,3.08,12.88333333,3.55,0,base,7.466674976,115,F,adult,adult,NA
2042,NA,NA,4-Apr-17,2017,94,6.25,9.333333333,3.08,12.88333333,3.55,15,min15,26.992407,949,F,adult,adult,NA
2042,NA,NA,4-Apr-17,2017,94,6.25,9.333333333,3.08,12.88333333,3.55,30,min30,64.92614715,1896,F,adult,adult,NA
2043,G,N,5-Apr-17,2017,95,6.33,8.5,2.17,10,1.5,0,base,5.005294906,125,U,chick,nestling,nest
2043,G,N,5-Apr-17,2017,95,6.33,8.5,2.17,10,1.5,15,min15,13.75773203,1010,U,chick,nestling,nest
2043,G,N,5-Apr-17,2017,95,6.33,8.5,2.17,10,1.5,30,min30,3.893442538,1802,U,chick,nestling,nest
2046,NA,NA,5-Apr-17,2017,95,6.25,8.583333333,2.33,12.35,3.766666667,0,base,5.116513986,165,F,adult,adult,NA
2046,NA,NA,5-Apr-17,2017,95,6.25,8.583333333,2.33,12.35,3.766666667,15,min15,68.11014846,979,F,adult,adult,NA
2046,NA,NA,5-Apr-17,2017,95,6.25,8.583333333,2.33,12.35,3.766666667,30,min30,NA,NA,F,adult,adult,NA
2047,NA,NA,6-Apr-17,2017,96,6.24,8.5,2.26,11.95,3.45,0,base,5.16791045,110,M,adult,adult,NA
2047,NA,NA,6-Apr-17,2017,96,6.24,8.5,2.26,11.95,3.45,15,min15,76.26140919,958,M,adult,adult,NA
2047,NA,NA,6-Apr-17,2017,96,6.24,8.5,2.26,11.95,3.45,30,min30,168.6721304,1824,M,adult,adult,NA
2048,NA,NA,6-Apr-17,2017,96,6.24,8.8,2.56,12.06666667,3.266666667,0,base,11.30823845,105,M,adult,adult,NA
2048,NA,NA,6-Apr-17,2017,96,6.24,8.8,2.56,12.06666667,3.266666667,15,min15,64.80194614,979,M,adult,adult,NA
2048,NA,NA,6-Apr-17,2017,96,6.24,8.8,2.56,12.06666667,3.266666667,30,min30,115.4005808,1751,M,adult,adult,NA
2049,H,Y,8-Apr-17,2017,98,6.33,8.966666667,2.64,10,1.033333333,0,base,3.776794984,125,U,chick,nestling,incubator
2049,H,Y,8-Apr-17,2017,98,6.33,8.966666667,2.64,10,1.033333333,15,min15,5.856941034,1004,U,chick,nestling,incubator
2049,H,Y,8-Apr-17,2017,98,6.33,8.966666667,2.64,10,1.033333333,30,min30,11.83731437,1926,U,chick,nestling,incubator
2050,H,Y,8-Apr-17,2017,98,6.32,8.966666667,2.65,10,1.033333333,0,base,7.341584439,65,U,chick,nestling,nest
2050,H,Y,8-Apr-17,2017,98,6.32,8.966666667,2.65,10,1.033333333,15,min15,25.14630712,904,U,chick,nestling,nest
2050,H,Y,8-Apr-17,2017,98,6.32,8.966666667,2.65,10,1.033333333,30,min30,16.3924716,1819,U,chick,nestling,nest
2052,J,N,9-Apr-17,2017,99,6.32,7.583333333,1.26,10,2.416666667,0,base,6.227722126,94,U,chick,nestling,nest
2052,J,N,9-Apr-17,2017,99,6.32,7.583333333,1.26,10,2.416666667,15,min15,25.46405423,940,U,chick,nestling,nest
2052,J,N,9-Apr-17,2017,99,6.32,7.583333333,1.26,10,2.416666667,30,min30,7.312588747,1826,U,chick,nestling,nest
2053,I,N,8-Apr-17,2017,98,6.32,10.93333333,4.61,11.5,0.566666667,0,base,7.189963418,NA,U,chick,nestling,nest
2053,I,N,8-Apr-17,2017,98,6.32,10.93333333,4.61,11.5,0.566666667,15,min15,32.76043098,NA,U,chick,nestling,nest
2053,I,N,8-Apr-17,2017,98,6.32,10.93333333,4.61,11.5,0.566666667,30,min30,14.5462366,NA,U,chick,nestling,nest
2054,K,Y,9-Apr-17,2017,99,6.32,10.23333333,3.91,11.5,1.266666667,0,base,7.501545556,114,U,chick,nestling,nest
2054,K,Y,9-Apr-17,2017,99,6.32,10.23333333,3.91,11.5,1.266666667,15,min15,7.339507386,992,U,chick,nestling,nest
2054,K,Y,9-Apr-17,2017,99,6.32,10.23333333,3.91,11.5,1.266666667,30,min30,0.585988479,1909,U,chick,nestling,nest
2055,K,Y,9-Apr-17,2017,99,6.31,10.23333333,3.92,11.5,1.266666667,0,base,4.782161002,64,U,chick,nestling,incubator
2055,K,Y,9-Apr-17,2017,99,6.31,10.23333333,3.92,11.5,1.266666667,15,min15,6.257190173,934,U,chick,nestling,incubator
2055,K,Y,9-Apr-17,2017,99,6.31,10.23333333,3.92,11.5,1.266666667,30,min30,1.523230268,1790,U,chick,nestling,incubator
2056,M,Y,17-Apr-17,2017,107,6.31,8.75,2.44,10.5,1.75,0,base,3.638277958,48,U,chick,nestling,nest
2056,M,Y,17-Apr-17,2017,107,6.31,8.75,2.44,10.5,1.75,15,min15,41.54309482,928,U,chick,nestling,nest
2056,M,Y,17-Apr-17,2017,107,6.31,8.75,2.44,10.5,1.75,30,min30,NA,1795,U,chick,nestling,nest
2057,L,Y,13-Apr-17,2017,103,6.31,10,3.69,10.5,0.5,0,base,3.00239559,36,U,chick,nestling,nest
2057,L,Y,13-Apr-17,2017,103,6.31,10,3.69,10.5,0.5,15,min15,9.514393582,898,U,chick,nestling,nest
2057,L,Y,13-Apr-17,2017,103,6.31,10,3.69,10.5,0.5,30,min30,3.808325075,1800,U,chick,nestling,nest
2058,L,Y,13-Apr-17,2017,103,6.31,10,3.69,10.5,0.5,0,base,1.899603549,31,U,chick,nestling,nest
2058,L,Y,13-Apr-17,2017,103,6.31,10,3.69,10.5,0.5,15,min15,54.54668712,933,U,chick,nestling,nest
2058,L,Y,13-Apr-17,2017,103,6.31,10,3.69,10.5,0.5,30,min30,7.421907926,1826,U,chick,nestling,nest
2059,M,Y,17-Apr-17,2017,107,6.31,8.75,2.44,10,1.25,0,base,3.641025406,86,U,chick,nestling,incubator
